path,size_bytes,modified_utc,included_in_raw_zip,line_count,parse_errors
logs\live_run_20260626_193440.jsonl,592347,2026-06-26T19:34:41.222080+00:00,True,205,0
logs\live_run_20260626_193444.jsonl,592347,2026-06-26T19:34:45.798161+00:00,True,205,0
logs\live_run_20260626_193448.jsonl,592347,2026-06-26T19:34:50.309058+00:00,True,205,0
logs\live_run_20260626_193453.jsonl,591745,2026-06-26T19:34:54.897767+00:00,True,205,0
logs\live_run_20260626_193458.jsonl,591745,2026-06-26T19:34:59.666835+00:00,True,205,0
logs\live_run_20260626_193502.jsonl,591745,2026-06-26T19:35:04.134175+00:00,True,205,0
logs\live_run_20260626_193507.jsonl,591745,2026-06-26T19:35:08.763866+00:00,True,205,0
logs\live_run_20260626_193511.jsonl,591745,2026-06-26T19:35:13.090869+00:00,True,205,0
logs\live_run_20260626_193516.jsonl,592347,2026-06-26T19:35:17.860608+00:00,True,205,0
logs\live_run_20260626_193521.jsonl,590546,2026-06-26T19:35:22.575532+00:00,True,205,0
logs\live_run_20260626_193525.jsonl,592347,2026-06-26T19:35:27.198219+00:00,True,205,0
logs\live_run_20260626_193530.jsonl,591745,2026-06-26T19:35:31.708058+00:00,True,205,0
logs\live_run_20260626_193535.jsonl,592347,2026-06-26T19:35:36.337953+00:00,True,205,0
logs\live_run_20260626_193539.jsonl,592347,2026-06-26T19:35:40.718786+00:00,True,205,0
logs\live_run_20260626_193544.jsonl,592347,2026-06-26T19:35:46.341294+00:00,True,205,0
logs\live_run_20260626_193551.jsonl,592347,2026-06-26T19:35:52.725359+00:00,True,205,0
logs\live_run_20260626_193555.jsonl,592347,2026-06-26T19:35:57.123573+00:00,True,205,0
logs\live_run_20260626_193600.jsonl,591745,2026-06-26T19:36:01.752151+00:00,True,205,0
logs\live_run_20260626_193604.jsonl,591745,2026-06-26T19:36:06.271949+00:00,True,205,0
logs\live_run_20260626_193609.jsonl,589944,2026-06-26T19:36:11.130054+00:00,True,205,0
logs\live_run_20260626_193613.jsonl,591746,2026-06-26T19:36:15.135310+00:00,True,205,0
logs\live_run_20260626_193618.jsonl,591144,2026-06-26T19:36:19.752954+00:00,True,205,0
logs\live_run_20260626_193623.jsonl,589343,2026-06-26T19:36:24.290225+00:00,True,205,0
logs\live_run_20260626_193627.jsonl,591745,2026-06-26T19:36:28.592552+00:00,True,205,0
logs\live_run_20260626_193631.jsonl,591745,2026-06-26T19:36:33.000019+00:00,True,205,0
logs\live_run_20260626_193636.jsonl,591745,2026-06-26T19:36:37.594398+00:00,True,205,0
logs\live_run_20260626_193640.jsonl,589343,2026-06-26T19:36:41.817697+00:00,True,205,0
logs\live_run_20260626_193645.jsonl,589944,2026-06-26T19:36:46.379162+00:00,True,205,0
logs\live_run_20260626_193649.jsonl,589343,2026-06-26T19:36:50.937587+00:00,True,205,0
logs\live_run_20260626_193654.jsonl,590546,2026-06-26T19:36:55.390605+00:00,True,205,0
logs\live_run_20260626_193658.jsonl,590546,2026-06-26T19:37:09.234204+00:00,True,205,0
logs\live_run_20260626_193711.jsonl,744,2026-06-26T19:37:12.197349+00:00,True,1,0
logs\live_run_20260626_193724.jsonl,590546,2026-06-26T19:37:38.692998+00:00,True,205,0
logs\live_run_20260626_193744.jsonl,592347,2026-06-26T19:37:46.065172+00:00,True,205,0
logs\live_run_20260626_193750.jsonl,590546,2026-06-26T19:37:51.893489+00:00,True,205,0
logs\live_run_20260626_193755.jsonl,592347,2026-06-26T19:37:57.503362+00:00,True,205,0
logs\live_run_20260626_193802.jsonl,592347,2026-06-26T19:38:03.515681+00:00,True,205,0
logs\live_run_20260626_193807.jsonl,590546,2026-06-26T19:38:08.464901+00:00,True,205,0
logs\live_run_20260626_193811.jsonl,592347,2026-06-26T19:38:14.143365+00:00,True,205,0
logs\live_run_20260626_193819.jsonl,592347,2026-06-26T19:38:21.368502+00:00,True,205,0
logs\live_run_20260626_193823.jsonl,592347,2026-06-26T19:38:24.864522+00:00,True,205,0
