ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,time_setup_iso,time_done_iso,time_setup_msc_iso,time_done_msc_iso
1105934,1782501760,1782501760474,1782501760,1782501760487,0,1,0,1,4,0,1105895,0,0,0.5,0.0,0.0,0.0,0.0,4073.155,0.0,XAUUSD,,3LJ7OOC4357UQ,2026-06-26T19:22:40+00:00,2026-06-26T19:22:40+00:00,2026-06-26T19:22:40.474000+00:00,2026-06-26T19:22:40.487000+00:00
1105980,1782501770,1782501770527,1782501770,1782501770540,0,1,0,1,4,0,1105980,0,0,0.5,0.0,0.0,0.0,0.0,4072.8,0.0,XAUUSD,,3LJ7OOLHODYPD,2026-06-26T19:22:50+00:00,2026-06-26T19:22:50+00:00,2026-06-26T19:22:50.527000+00:00,2026-06-26T19:22:50.540000+00:00
1106028,1782501775,1782501775820,1782501775,1782501775868,0,0,0,1,4,0,1105980,0,0,0.5,0.0,0.0,0.0,0.0,4072.795,0.0,XAUUSD,,3LJ7OOQFG2H3L,2026-06-26T19:22:55+00:00,2026-06-26T19:22:55+00:00,2026-06-26T19:22:55.820000+00:00,2026-06-26T19:22:55.868000+00:00
1106047,1782501783,1782501783058,1782501783,1782501783072,0,0,0,0,4,0,1106047,0,0,0.5,0.0,0.0,0.0,0.0,0.86264,0.0,EURGBP,,3LJ7OOX54NK4B,2026-06-26T19:23:03+00:00,2026-06-26T19:23:03+00:00,2026-06-26T19:23:03.058000+00:00,2026-06-26T19:23:03.072000+00:00
1106257,1782501801,1782501801343,1782501801,1782501801355,0,0,0,1,4,10181,1106257,0,3,0.1,0.0,0.0,0.0,0.0,4072.7,0.0,XAUUSD,profit_harvester,3LJ7OPI62POZQ,2026-06-26T19:23:21+00:00,2026-06-26T19:23:21+00:00,2026-06-26T19:23:21.343000+00:00,2026-06-26T19:23:21.355000+00:00
1106748,1782501841,1782501841487,1782501841,1782501841503,0,1,0,0,4,0,1106047,0,0,0.5,0.0,0.0,0.0,0.0,0.86264,0.0,EURGBP,,3LJ7OQNKHYKSV,2026-06-26T19:24:01+00:00,2026-06-26T19:24:01+00:00,2026-06-26T19:24:01.487000+00:00,2026-06-26T19:24:01.503000+00:00
1106781,1782501870,1782501870314,1782501870,1782501870326,0,1,0,1,4,0,1106781,0,0,0.5,0.0,0.0,0.0,0.0,59.0058,0.0,XAGUSD,,3LJ7ORIFKXQHA,2026-06-26T19:24:30+00:00,2026-06-26T19:24:30+00:00,2026-06-26T19:24:30.314000+00:00,2026-06-26T19:24:30.326000+00:00
1109167,1782501988,1782501988730,1782501988,1782501988745,0,1,0,1,4,10181,1106257,0,3,0.1,0.0,0.0,0.0,0.0,4073.6,0.0,XAUUSD,profit_harvester,3LJ7OUWOO4THM,2026-06-26T19:26:28+00:00,2026-06-26T19:26:28+00:00,2026-06-26T19:26:28.730000+00:00,2026-06-26T19:26:28.745000+00:00
1113027,1782502402,1782502402801,1782502402,1782502402816,0,1,0,0,4,0,1113027,0,0,0.5,0.0,0.0,0.0,0.0,1.41882,0.0,USDCAD,,3LJ7PAYCVJ3NS,2026-06-26T19:33:22+00:00,2026-06-26T19:33:22+00:00,2026-06-26T19:33:22.801000+00:00,2026-06-26T19:33:22.816000+00:00
1115001,1782502566,1782502566315,1782502566,1782502566329,0,0,0,0,4,0,1113027,0,0,0.5,0.0,0.0,0.0,0.0,1.41878,0.0,USDCAD,,3LJ7PFQLYXYRT,2026-06-26T19:36:06+00:00,2026-06-26T19:36:06+00:00,2026-06-26T19:36:06.315000+00:00,2026-06-26T19:36:06.329000+00:00
